Regulator (TF or sigma);Target gene;mode of regulation;Ortholog of the target gene
amrZ (AL347_25805);putP;?;putP
amrZ (AL347_25805);ampDh3;?;ampDh3
amrZ (AL347_25805);PA0947;?;PA0947
amrZ (AL347_25805);pauA;?;pauA
amrZ (AL347_25805);shaB;?;shaB
amrZ (AL347_25805);roeA;?;roeA
amrZ (AL347_25805);rhlC;?;rhlC
amrZ (AL347_25805);PA1159;?;PA1159
amrZ (AL347_25805);PA1211;?;PA1211
amrZ (AL347_25805);cobO;?;cobO
amrZ (AL347_25805);PA1383;?;PA1383
amrZ (AL347_25805);PA1473;?;PA1473
amrZ (AL347_25805);PA1736;?;PA1736
amrZ (AL347_25805);PA2229;?;PA2229
amrZ (AL347_25805);PA2471;?;PA2471
amrZ (AL347_25805);PA2504;?;PA2504
amrZ (AL347_25805);cobH;?;cobH
amrZ (AL347_25805);xcpP;?;xcpP
amrZ (AL347_25805);PA3110;?;PA3110
amrZ (AL347_25805);asd;?;asd
amrZ (AL347_25805);wbpM;?;wbpM
amrZ (AL347_25805);grxD;?;grxD
amrZ (AL347_25805);PA3592;?;PA3592
amrZ (AL347_25805);dnaE;?;dnaE
amrZ (AL347_25805);PA3836;?;PA3836
amrZ (AL347_25805);PA3854;?;PA3854
amrZ (AL347_25805);PA3959;?;PA3959
amrZ (AL347_25805);PA4392;?;PA4392
amrZ (AL347_25805);magE;?;magE
amrZ (AL347_25805);oprJ;?;oprJ
amrZ (AL347_25805);PA4987;?;PA4987
amrZ (AL347_25805);mutY;?;mutY
amrZ (AL347_25805);pstC;?;pstC
amrZ (AL347_25805);gbdR;?;gbdR
amrZ (AL347_25805);fiuI;-;fiuI
amrZ (AL347_25805);PA0102;+;PA0102
amrZ (AL347_25805);siaA;-;siaA
amrZ (AL347_25805);PA1069;+;PA1069
amrZ (AL347_25805);PA2867;-;PA2867
amrZ (AL347_25805);pelB;+;pelB
amrZ (AL347_25805);amrZ;-;amrZ
amrZ (AL347_25805);algD;+;algD
amrZ (AL347_25805);PA3691;-;PA3691
amrZ (AL347_25805);PA3722;-;PA3722
amrZ (AL347_25805);pchG;-;pchG
amrZ (AL347_25805);flp;-;flp
amrZ (AL347_25805);PA4677;-;PA4677
amrZ (AL347_25805);ctpL;-;ctpL
amrZ (AL347_25805);dctP;-;dctP
amrZ (AL347_25805);gcbA;-;gcbA
anr (AL347_05030);dnr;+;dnr
anr (AL347_05030);anr;+;anr
anr (AL347_05030);narG;+;narG
anr (AL347_05030);narX;+;narX
anr (AL347_05030);aroE;+;aroE
anr (AL347_05030);PA0521;+;PA0521
anr (AL347_05030);PA0522;+;PA0522
anr (AL347_05030);murI;d;murI
anr (AL347_05030);moeB;d;moeB
anr (AL347_05030);hemK;d;hemK
anr (AL347_05030);prfA;+;prfA
anr (AL347_05030);narI;+;narI
anr (AL347_05030);narJ;+;narJ
anr (AL347_05030);narH;+;narH
anr (AL347_05030);hemF;+;hemF
anr (AL347_05030);oprE;+;oprE
anr (AL347_05030);nirS;+;nirS
anr (AL347_05030);nirQ;+;nirQ
anr (AL347_05030);norC;+;norC
anr (AL347_05030);norB;+;norB
anr (AL347_05030);hemN;+;hemN
anr (AL347_05030);hcnA;+;hcnA
anr (AL347_05030);hcnB;+;hcnB
anr (AL347_05030);hcnC;+;hcnC
anr (AL347_05030);nark2;+;nark2
anr (AL347_05030);nark1;+;nark1
anr (AL347_05030);PA4352;+;PA4352
anr (AL347_05030);hemA;+;hemA
anr (AL347_05030);azu;+;azu
anr (AL347_05030);coxB;-;coxB
anr (AL347_05030);coxA;-;coxA
anr (AL347_05030);ccoP2;+;ccoP2
anr (AL347_05030);ccoQ2;+;ccoQ2
anr (AL347_05030);ccoO2;+;ccoO2
anr (AL347_05030);ccoN2;+;ccoN2
anr (AL347_05030);cioB;-;cioB
anr (AL347_05030);aer;+;aer
anr (AL347_05030);PA1746;+;PA1746
anr (AL347_05030);arcD;+;arcD
anr (AL347_05030);arcA;+;arcA
anr (AL347_05030);arcB;+;arcB
anr (AL347_05030);arcC;+;arcC
anr (AL347_05030);plcH;-;plcH
anr (AL347_05030);PA1476;+;PA1476 (ccmB, helB, cyt10, cycW)
anr (AL347_05030);PA1571;+;PA1571
anr (AL347_05030);PA1300;?;PA1300 (hxuI)
anr (AL347_05030);sbrI;?;sbrI
anr (AL347_05030);fecI;?;fecI
anr (AL347_05030);glpT;+;glpT
anr (AL347_05030);adhA;-;adhA
anr (AL347_05030);narL;+;narL
anr (AL347_05030);cioA;-;cioA
anr (AL347_05030);coIII;-;coIII
anr (AL347_05030);PA0526;?;PA0526
anr (AL347_05030);PA3928;?;PA3928
anr (AL347_05030);PA3309;?;PA3309
anr (AL347_05030);PA2127;?;PA2127 (cgrA)
anr (AL347_05030);PA2126;?;PA2126 (cgrC)
ansR (AL347_00810);ansP;+;ansP
ansR (AL347_00810);ansA;+;ansA
antR (AL347_32110);antB;+;antB
antR (AL347_32110);antC;+;antC
antR (AL347_32110);antR;+;antR
antR (AL347_32110);antA;+;antA
argR (AL347_09030);PA1819;+;PA1819
argR (AL347_09030);aotO;+;aotO
argR (AL347_09030);PA4754;-;PA4754
argR (AL347_09030);greA;-;greA
argR (AL347_09030);PA0328;+;PA0328 (aaaA)
argR (AL347_09030);argR;+;argR
argR (AL347_09030);aruC;+;aruC
argR (AL347_09030);aruF;+;aruF
argR (AL347_09030);aruG;+;aruG
argR (AL347_09030);aruD;+;aruD
argR (AL347_09030);aruB;+;aruB
argR (AL347_09030);PA0900;+;PA0900
argR (AL347_09030);aruE;+;aruE
argR (AL347_09030);braZ;+;braZ
argR (AL347_09030);PA2042;+;PA2042
argR (AL347_09030);gdhB;+;gdhB
argR (AL347_09030);argG;-;argG
argR (AL347_09030);argF;-;argF
argR (AL347_09030);PA3538;-;PA3538
argR (AL347_09030);PA3934;+;PA3934
argR (AL347_09030);gdhA;-;gdhA
argR (AL347_09030);carB;-;carB
argR (AL347_09030);PA4757;-;PA4757
argR (AL347_09030);carA;-;carA
argR (AL347_09030);gltD;-;gltD
argR (AL347_09030);gltB;-;gltB
argR (AL347_09030);PA5152;+;PA5152
argR (AL347_09030);PA5153;+;PA5153
argR (AL347_09030);PA5154;+;PA5154
argR (AL347_09030);PA5155;+;PA5155
argR (AL347_09030);ldcA;+;ldcA
argR (AL347_09030);arcD;+;arcD
argR (AL347_09030);arcA;+;arcA
argR (AL347_09030);arcB;+;arcB
argR (AL347_09030);arcC;+;arcC
argR (AL347_09030);aotJ;+;aotJ
argR (AL347_09030);aotQ;+;aotQ
argR (AL347_09030);aotM;+;aotM
argR (AL347_09030);aotP;+;aotP
argR (AL347_09030);dauB;+;dauB
argR (AL347_09030);dauA;+;dauA
argR (AL347_09030);dauR;+;dauR
argR (AL347_09030);lysP;-;lysP
argR (AL347_09030);alr;-;alr
argR (AL347_09030);aruH;-;aruH
argR (AL347_09030);PA0891;+;PA0891
armR (AL347_24180);mexR;-;mexR
armZ (AL347_17165);algD;+;algD
armZ (AL347_17165);mexY;+;mexY
armZ (AL347_17165);mexX;+;mexX
artR (AL347_12465);exsC;-;exsC
artR (AL347_12465);exsE;-;exsE
artR (AL347_12465);exsB;-;exsB
artR (AL347_12465);exsA;-;exsA
artR (AL347_12465);exsD;-;exsD
artR (AL347_12465);pscB;-;pscB
artR (AL347_12465);pscC;-;pscC
artR (AL347_12465);pscD;-;pscD
artR (AL347_12465);pscE;-;pscE
artR (AL347_12465);pscF;-;pscF
artR (AL347_12465);pscG;-;pscG
artR (AL347_12465);pscH;-;pscH
artR (AL347_12465);pscI;-;pscI
artR (AL347_12465);pscL;-;pscL
artR (AL347_12465);exoS;-;exoS
artR (AL347_12465);pscJ;-;pscJ
artR (AL347_12465);exoY;-;exoY
asrA (AL347_09620);fhpR;-;fhpR
asrA (AL347_09620);fhp;+;fhp
asrA (AL347_09620);mexY;+;mexY
asrA (AL347_09620);mexX;+;mexX
atuR (AL347_28460);atuA;-;atuA
atuR (AL347_28460);atuB;-;atuB
atuR (AL347_28460);atuC;-;atuC
atuR (AL347_28460);atuD;-;atuD
atuR (AL347_28460);atuE;-;atuE
atuR (AL347_28460);atuF;-;atuF
atuR (AL347_28460);atuG;-;atuG
atuR (AL347_28460);atuH;-;atuH
bauR (AL347_18440);bauC;+;bauC
bauR (AL347_18440);bauB;+;bauB
bauR (AL347_18440);bauA;+;bauA
bauR (AL347_18440);bauR;+;bauR
bauR (AL347_18440);pauA3;+;pauA3
betI (AL347_16655);betA;-;betA
betI (AL347_16655);betB;-;betB
betI (AL347_16655);gbdR;-;gbdR
bexR (AL347_32855);PA0572;+;PA0572
bexR (AL347_32855);PA1202;+;PA1202
bexR (AL347_32855);PA1203;+;PA1203
bexR (AL347_32855);PA1204;+;PA1204
bexR (AL347_32855);PA1205;+;PA1205
bexR (AL347_32855);aprA;+;aprA
bexR (AL347_32855);bexR;+;bexR
bfiS (AL347_21695);gacS;+;gacS
bfiS (AL347_21695);gacA;+;gacA
bfiS (AL347_21695);cafA;+;cafA
bfmR (AL347_22195);phdA;+;phdA
bfmR (AL347_22195);rhlR;-;rhlR
birA (AL347_21250);bioB;-;bioB
birA (AL347_21250);bioF;-;bioF
birA (AL347_21250);bioH;-;bioH
birA (AL347_21250);bioC;-;bioC
birA (AL347_21250);bioD;-;bioD
brlR (AL347_14000);oprH;-;oprH
brlR (AL347_14000);phoP;-;phoP
brlR (AL347_14000);phoQ;-;phoQ
brlR (AL347_14000);mexB;+;mexB
brlR (AL347_14000);oprM;+;oprM
brlR (AL347_14000);bapB;+;bapB
brlR (AL347_14000);bapC;+;bapC
brlR (AL347_14000);bapD;+;bapD
brlR (AL347_14000);mexE;+;mexE
brlR (AL347_14000);mexF;+;mexF
brlR (AL347_14000);oprN;+;oprN
brlR (AL347_14000);brlR;+;brlR
brlR (AL347_14000);mexA;+;mexA
cbrA (AL347_13200);rsmA;+;rsmA
cbrB (AL347_13205);spuI;+;spuI
cbrB (AL347_13205);spuA;+;spuA
cbrB (AL347_13205);spuB;+;spuB
cbrB (AL347_13205);spuC;+;spuC
cbrB (AL347_13205);spuD;+;spuD
cbrB (AL347_13205);spuE;+;spuE
cbrB (AL347_13205);spuF;+;spuF
cbrB (AL347_13205);spuG;+;spuG
cbrB (AL347_13205);spuH;+;spuH
cbrB (AL347_13205);aotJ;+;aotJ
cbrB (AL347_13205);aotQ;+;aotQ
cbrB (AL347_13205);aotM;+;aotM
cbrB (AL347_13205);aotP;+;aotP
cbrB (AL347_13205);cbrB;+;cbrB
cbrB (AL347_13205);pmrA;-;pmrA
cbrB (AL347_13205);lipA;+;lipA
cbrB (AL347_13205);hutU;+;hutU
cbrB (AL347_13205);rsmA;+;rsmA
cbrB (AL347_13205);hutI;?;hutI
cbrB (AL347_13205);hutH;?;hutH
cbrB (AL347_13205);exoS;?;exoS
cbrB (AL347_13205);hutG;?;hutG
cbrB (AL347_13205);hutC;?;hutC
cbrB (AL347_13205);PA5104;?;PA5104
cbrB (AL347_13205);PA5101;?;PA5101
cbrB (AL347_13205);PA5103;?;PA5103 (puuR)
cbrB (AL347_13205);PA5102;?;PA5102
cbrB (AL347_13205);PA5099;?;PA5099
cbrB (AL347_13205);PA5093;?;PA5093
cbrB (AL347_13205);PA5097;?;PA5097
cbrB (AL347_13205);PA5096;?;PA5096
cbrB (AL347_13205);PA5095;?;PA5095
cbrB (AL347_13205);PA5094;?;PA5094
cdhR (AL347_16735);hocS;+;hocS
cdhR (AL347_16735);cdhB;+;cdhB
cdhR (AL347_16735);cdhA;+;cdhA
cdhR (AL347_16735);caiX;+;caiX
cdhR (AL347_16735);cdhR;-;cdhR
cdhR (AL347_16735);PSPA7_RS29440;?;PSPA7_RS29440 (PSPA7_6174)
cdpR (AL347_30490);cerN;?;cerN
cdpR (AL347_30490);PA1333;?;PA1333
cdpR (AL347_30490);lpdV;?;lpdV
cdpR (AL347_30490);cdpR;?;cdpR
cdpR (AL347_30490);amiR;?;amiR
cdpR (AL347_30490);PA3638;?;PA3638
cdpR (AL347_30490);PA3854;?;PA3854
cdpR (AL347_30490);PA4340;?;PA4340
cdpR (AL347_30490);PA4676;?;PA4676
cdpR (AL347_30490);mutY;?;mutY
cifR (AL347_28225);cifR;-;cifR
cifR (AL347_28225);morB;-;morB
cifR (AL347_28225);cif;-;cif
cifR (AL347_28225);PA2933;?;PA2933
clpP (AL347_03640);algU;-;algU
clpX (AL347_03635);algU;-;algU
cmpX (AL347_03805);sigX;+;sigX
cmpX (AL347_03805);oprF;+;oprF
cmpX (AL347_03805);exoS;+;exoS
cmrA (AL347_02370);mexE;+;mexE
cmrA (AL347_02370);mexF;+;mexF
cmrA (AL347_02370);oprN;+;oprN
copR (AL347_28855);PA2524;?;PA2524 (czcS)
copR (AL347_28855);czcR;?;czcR
copR (AL347_28855);czcB;?;czcB
copR (AL347_28855);czcC;?;czcC
copR (AL347_28855);czcA;?;czcA
copR (AL347_28855);ptrA;?;ptrA
cpxR (AL347_00500);mexB;+;mexB
cpxR (AL347_00500);oprM;+;oprM
crc (AL347_16415);PA0884;-;PA0884
crc (AL347_16415);dctQ;-;dctQ
crc (AL347_16415);dctM;-;dctM
crc (AL347_16415);dctR;-;dctR
crc (AL347_16415);nirS;+;nirS
crc (AL347_16415);ptrB;-;ptrB
crc (AL347_16415);prpC;-;prpC
crc (AL347_16415);acsA;-;acsA
crc (AL347_16415);fimL;-;fimL
crc (AL347_16415);ptrC;+;ptrC
crc (AL347_16415);gltR;-;gltR
crc (AL347_16415);rpoS;-;rpoS
crc (AL347_16415);cpdA;-;cpdA
crc (AL347_16415);PA5530;+;PA5530
crc (AL347_16415);zwf;?;zwf
crc (AL347_16415);bkdB;?;bkdB
crc (AL347_16415);mtlD;?;mtlD
crc (AL347_16415);bkdA1;?;bkdA1
crc (AL347_16415);bkdA2;?;bkdA2
crc (AL347_16415);pilB;?;pilB
crc (AL347_16415);lpdV;?;lpdV
cueR (AL347_13485);mexP;+;mexP
cueR (AL347_13485);PA3920;+;PA3920 (copA1, yvgX, cueA)
cueR (AL347_13485);mexQ;+;mexQ
cueR (AL347_13485);PA3521;+;PA3521 (opmE)
cyaB (AL347_00435);exsA;+;exsA
cysB (AL347_03920);alg8;+;alg8
cysB (AL347_03920);alg44;+;alg44
cysB (AL347_03920);algK;+;algK
cysB (AL347_03920);algE;+;algE
cysB (AL347_03920);algG;+;algG
cysB (AL347_03920);algX;+;algX
cysB (AL347_03920);algL;+;algL
cysB (AL347_03920);algI;+;algI
cysB (AL347_03920);algJ;+;algJ
cysB (AL347_03920);algF;+;algF
cysB (AL347_03920);algA;+;algA
cysB (AL347_03920);cysB;-;cysB
cysB (AL347_03920);msuC;+;msuC
cysB (AL347_03920);msuD;+;msuD
cysB (AL347_03920);msuE;+;msuE
cysB (AL347_03920);cysH;+;cysH
cysB (AL347_03920);algD;+;algD
cysB (AL347_03920);retS;-;retS
cysB (AL347_03920);atsA;+;atsA
cysB (AL347_03920);atsB;+;atsB
cysB (AL347_03920);atsC;+;atsC
cysB (AL347_03920);atsR;+;atsR
cysB (AL347_03920);mvfR;d;mvfR
cysB (AL347_03920);pvdS;+;pvdS
cysB (AL347_03920);PA2355;+;PA2355
cysB (AL347_03920);PA0185;?;PA0185
cysB (AL347_03920);aruG;+;aruG
cysB (AL347_03920);aruB;+;aruB
cysB (AL347_03920);aruC;+;aruC
czcR (AL347_32045);lasI;-;lasI
czcR (AL347_32045);czcB;+;czcB
czcR (AL347_32045);czcA;+;czcA
czcR (AL347_32045);czcC;+;czcC
czcR (AL347_32045);phzA1;-;phzA1
dctD (AL347_15555);PA0884;+;PA0884
dctD (AL347_15555);dctQ;+;dctQ
dctD (AL347_15555);dctM;+;dctM
dctD (AL347_15555);dctA;+;dctA
dctR (AL347_07225);dctA;-;dctA
ddaR (AL347_07150);ddaH;+;ddaH
deaD (AL347_28690);exsA;+;exsA
desT (AL347_14060);fabA;-;fabA
desT (AL347_14060);PA4889;-;PA4889
desT (AL347_14060);desB;-;desB
desT (AL347_14060);desT;?;desT
dguR (AL347_15075);dguC;+;dguC
dguR (AL347_15075);dguB;+;dguB
dguR (AL347_15075);dguA;+;dguA
dhcR (AL347_02620);dhcA;+;dhcA
dhcR (AL347_02620);dhcB;+;dhcB
dnr (AL347_20470);nirS;+;nirS
dnr (AL347_20470);nirQ;+;nirQ
dnr (AL347_20470);norC;+;norC
dnr (AL347_20470);norB;+;norB
dnr (AL347_20470);narG;+;narG
dnr (AL347_20470);aroE;+;aroE
dnr (AL347_20470);nirN;+;nirN
dnr (AL347_20470);nirE;+;nirE
dnr (AL347_20470);nirJ;+;nirJ
dnr (AL347_20470);nirH;+;nirH
dnr (AL347_20470);nirG;+;nirG
dnr (AL347_20470);nirL;+;nirL
dnr (AL347_20470);nirF;+;nirF
dnr (AL347_20470);nirC;+;nirC
dnr (AL347_20470);nirM;+;nirM
dnr (AL347_20470);nirD;+;nirD
dnr (AL347_20470);hemF;+;hemF
dnr (AL347_20470);dnr;+;dnr
dnr (AL347_20470);anr;+;anr
dnr (AL347_20470);hemN;+;hemN
dnr (AL347_20470);nosR;+;nosR
dnr (AL347_20470);nosZ;+;nosZ
dnr (AL347_20470);nosD;+;nosD
dnr (AL347_20470);nosF;+;nosF
dnr (AL347_20470);nosY;+;nosY
dnr (AL347_20470);nosL;+;nosL
dnr (AL347_20470);narI;+;narI
dnr (AL347_20470);narJ;+;narJ
dnr (AL347_20470);narH;+;narH
dnr (AL347_20470);nark2;+;nark2
dnr (AL347_20470);nark1;+;nark1
dnr (AL347_20470);narX;+;narX
dnr (AL347_20470);narL;+;narL
dnr (AL347_20470);hemA;+;hemA
erbR (AL347_02720);eraS;+;exaD
erbR (AL347_02720);eraR;+;exaE
erdR (AL347_24760);acsA;+;acsA
esrC (AL347_12475);oprJ;-;oprJ
esrC (AL347_12475);mexD;-;mexD
esrC (AL347_12475);mexC;-;mexC
exsA (AL347_04135);pscB;+;pscB
exsA (AL347_04135);pscC;+;pscC
exsA (AL347_04135);pscD;+;pscD
exsA (AL347_04135);pscE;+;pscE
exsA (AL347_04135);pscF;+;pscF
exsA (AL347_04135);pscG;+;pscG
exsA (AL347_04135);pscH;+;pscH
exsA (AL347_04135);pscI;+;pscI
exsA (AL347_04135);pscJ;+;pscJ
exsA (AL347_04135);pscK;+;pscK
exsA (AL347_04135);pscL;+;pscL
exsA (AL347_04135);PA3842;+;PA3842 (spcS, orf1)
exsA (AL347_04135);exoT;+;exoT
exsA (AL347_04135);exsC;+;exsC
exsA (AL347_04135);exsE;+;exsE
exsA (AL347_04135);exsA;+;exsA
exsA (AL347_04135);exsD;+;exsD
exsA (AL347_04135);exoS;+;exoS
exsA (AL347_04135);PA0456;?;PA0456
exsA (AL347_04135);surA;?;surA
exsA (AL347_04135);pqsA;?;pqsA
exsA (AL347_04135);pqsB;?;pqsB
exsA (AL347_04135);pqsC;?;pqsC
exsA (AL347_04135);pqsD;?;pqsD
exsA (AL347_04135);pqsE;?;pqsE
exsA (AL347_04135);PA2004;?;PA2004
exsA (AL347_04135);exsB;+;exsB
exsA (AL347_04135);PA3843;+;PA3843
exsC (AL347_04150);exsD;-;exsD
exsD (AL347_04130);exsA;-;exsA
exsE (AL347_04145);exsC;-;exsC
fecI (AL347_23230);dguA;+;dguA
fecI (AL347_23230);dguB;+;dguB
fecI (AL347_23230);dguC;+;dguC
fecI (AL347_23230);PA4986;+;PA4986
fecI (AL347_23230);PA4881;+;PA4881
fecI (AL347_23230);PA4200;+;PA4200
fecI (AL347_23230);PA4199;+;PA4199
fecI (AL347_23230);PA4198;+;PA4198
fecI (AL347_23230);PA4067;+;PA4067 (oprG, yciD, ompW)
fecI (AL347_23230);PA3610;+;PA3610 (potD)
fecI (AL347_23230);hasR;+;hasR
fecI (AL347_23230);pvdA;+;pvdA
fecI (AL347_23230);PA1925;+;PA1925
fecI (AL347_23230);PA1924;+;PA1924
fecI (AL347_23230);PA1923;+;PA1923
fecI (AL347_23230);PA1922;+;PA1922
fecI (AL347_23230);PA1342;+;PA1342 (aatJ)
fecI (AL347_23230);PA0492;+;PA0492
fecI (AL347_23230);PA0387;+;PA0387
fecI (AL347_23230);PA0096;+;PA0096
fecI (AL347_23230);PA5229;+;PA5229
fecI (AL347_23230);phuR;+;phuR
fecI (AL347_23230);pchR;+;pchR
fecI (AL347_23230);PA4090;+;PA4090
fecI (AL347_23230);hasI;+;hasI
fecI (AL347_23230);hasAp;+;hasAp
fecI (AL347_23230);PA3268;+;PA3268
fecI (AL347_23230);PA3118;+;PA3118 (leuB)
fecI (AL347_23230);pvdS;?;pvdS
fecI (AL347_23230);PA2380;+;PA2380
fecI (AL347_23230);PA1873;+;PA1873
fecI (AL347_23230);PA1872;+;PA1872
fecI (AL347_23230);PA1631;+;PA1631
fecI (AL347_23230);PA1630;+;PA1630
fecI (AL347_23230);hxuA;+;hxuA
fecI (AL347_23230);PA0097;+;PA0097
fecI (AL347_23230);PA4987;+;PA4987
fecI (AL347_23230);bfiS;+;bfiS
fecI (AL347_23230);bfiR;+;bfiR
fecI (AL347_23230);fecR;+;fecR
fecI (AL347_23230);fecI;?;fecI
fhpR (AL347_30085);fhp;+;fhp
fhpR (AL347_30085);fhpR;-;fhpR
fhpR (AL347_30085);ppyR;+;ppyR
fhpR (AL347_30085);PA2662;+;PA2662
finR (AL347_25740);fprA;+;fprA
finR (AL347_25740);finR;-;finR
fis (AL347_13875);exsB;+;exsB
fis (AL347_13875);exsA;+;exsA
fleN (AL347_05495);fleQ;-;fleQ
fleN (AL347_05495);lapA;-;lapA
fleQ (AL347_07690);fliH;+;fliH
fleQ (AL347_07690);pelB;-;pelB
fleQ (AL347_07690);fliD;+;fliD
fleQ (AL347_07690);fleS;+;fleS
fleQ (AL347_07690);fleR;+;fleR
fleQ (AL347_07690);fliE;+;fliE
fleQ (AL347_07690);fliF;+;fliF
fleQ (AL347_07690);fliG;+;fliG
fleQ (AL347_07690);fliI;+;fliI
fleQ (AL347_07690);fliJ;+;fliJ
fleQ (AL347_07690);fliM;+;fliM
fleQ (AL347_07690);fliN;+;fliN
fleQ (AL347_07690);fliO;+;fliO
fleQ (AL347_07690);fliP;+;fliP
fleQ (AL347_07690);fliQ;+;fliQ
fleQ (AL347_07690);fliR;+;fliR
fleQ (AL347_07690);flhB;+;flhB
fleQ (AL347_07690);flhA;+;flhA
fleQ (AL347_07690);fur;-;fur
fleQ (AL347_07690);fliS;+;fliS
fleQ (AL347_07690);lapA;-;lapA
fleQ (AL347_07690);PA0042;?;PA0042
fleQ (AL347_07690);siaA;?;siaA
fleQ (AL347_07690);PA0643;?;PA0643
fleQ (AL347_07690);tyrZ;?;tyrZ
fleQ (AL347_07690);PA0718;?;PA0718
fleQ (AL347_07690);PA0959;?;PA0959
fleQ (AL347_07690);PA0981;?;PA0981
fleQ (AL347_07690);cupC3;?;cupC3
fleQ (AL347_07690);imm2;?;imm2
fleQ (AL347_07690);aprA;?;aprA
fleQ (AL347_07690);qsrO;?;qsrO
fleQ (AL347_07690);pslA;?;pslA
fleQ (AL347_07690);vgrG3;?;vgrG3
fleQ (AL347_07690);PA2569;?;PA2569
fleQ (AL347_07690);nuoA;?;nuoA
fleQ (AL347_07690);PA2793;?;PA2793
fleQ (AL347_07690);PA2795;?;PA2795 (dusA, yjbN)
fleQ (AL347_07690);oprI;?;oprI
fleQ (AL347_07690);acpP;?;acpP
fleQ (AL347_07690);rocA2;?;rocA2
fleQ (AL347_07690);PA3047;?;PA3047
fleQ (AL347_07690);fimV;?;fimV
fleQ (AL347_07690);wbpJ;?;wbpJ
fleQ (AL347_07690);hisF2;?;hisF2
fleQ (AL347_07690);wzy;?;wzy
fleQ (AL347_07690);wbpE;?;wbpE
fleQ (AL347_07690);wbpA;?;wbpA
fleQ (AL347_07690);wzz;?;wzz
fleQ (AL347_07690);clpP2;?;clpP2
fleQ (AL347_07690);PA3489;?;PA3489
fleQ (AL347_07690);PA3835;?;PA3835
fleQ (AL347_07690);PA3836;?;PA3836
fleQ (AL347_07690);PA4080;?;PA4080
fleQ (AL347_07690);PA4087;?;PA4087
fleQ (AL347_07690);PA4139;?;PA4139
fleQ (AL347_07690);phzA1;?;phzA1
fleQ (AL347_07690);phzB1;?;phzB1
fleQ (AL347_07690);phzC1;?;phzC1
fleQ (AL347_07690);phzD1;?;phzD1
fleQ (AL347_07690);phzE1;?;phzE1
fleQ (AL347_07690);phzF1;?;phzF1
fleQ (AL347_07690);rpoC;?;rpoC
fleQ (AL347_07690);PA4523;?;PA4523
fleQ (AL347_07690);ponA;?;ponA
fleQ (AL347_07690);arcD;?;arcD
fleQ (AL347_07690);PA5446;?;PA5446
fleQ (AL347_07690);PA5546;?;PA5546
fleQ (AL347_07690);pelA;d;pelA
fleQ (AL347_07690);fliL;+;fliL
fleQ (AL347_07690);pslG;?;pslG
fleQ (AL347_07690);pslF;?;pslF
fleQ (AL347_07690);pslE;?;pslE
fleQ (AL347_07690);fleN;?;fleN
fleQ (AL347_07690);pslD;?;pslD
fleQ (AL347_07690);fleQ;?;fleQ
fleQ (AL347_07690);PA1442;+;PA1442
fleQ (AL347_07690);PA1096;?;PA1096
fleQ (AL347_07690);pslI;?;pslI
fleQ (AL347_07690);flhF;?;flhF
fleQ (AL347_07690);pelE;?;pelE
fleQ (AL347_07690);pelD;?;pelD
fleQ (AL347_07690);pelG;?;pelG
fleQ (AL347_07690);pelF;?;pelF
fleQ (AL347_07690);pelC;?;pelC
fleQ (AL347_07690);PA2441;?;PA2441
fleQ (AL347_07690);pslK;?;pslK
fleQ (AL347_07690);pslJ;?;pslJ
fleQ (AL347_07690);pslH;?;pslH
fleQ (AL347_07690);pslL;?;pslL
fleQ (AL347_07690);pslC;?;pslC
fleQ (AL347_07690);pslB;?;pslB
flgM (AL347_25995);fliC;-;fliC
flgM (AL347_25995);fliA;-;fliA
fliA (AL347_05490);fliC;+;fliC
fliA (AL347_05490);fliL;+;fliL
fliA (AL347_05490);flgM;+;flgM
fliA (AL347_05490);bifA;+;bifA
fliA (AL347_05490);PA5376;+;PA5376 (cbcV)
fliA (AL347_05490);PA5285;+;PA5285 (sutA)
fliA (AL347_05490);PA5284;+;PA5284
fliA (AL347_05490);PA5273;+;PA5273
fliA (AL347_05490);PA5272;+;PA5272 (cyaA)
fliA (AL347_05490);PA5218;+;PA5218
fliA (AL347_05490);PA5217;+;PA5217
fliA (AL347_05490);PA5216;+;PA5216
fliA (AL347_05490);PA5137;+;PA5137
fliA (AL347_05490);PA5072;+;PA5072 (mcpK)
fliA (AL347_05490);pilM;+;pilM
fliA (AL347_05490);pilN;+;pilN
fliA (AL347_05490);PA5042;+;PA5042 (pilO)
fliA (AL347_05490);pilP;+;pilP
fliA (AL347_05490);PA5040;+;PA5040 (pilQ)
fliA (AL347_05490);PA5037;+;PA5037
fliA (AL347_05490);PA5018;+;PA5018 (msrA, pmsR)
fliA (AL347_05490);PA5017;+;PA5017 (dipA)
fliA (AL347_05490);PA4955;+;PA4955
fliA (AL347_05490);PA4954;+;PA4954 (motA)
fliA (AL347_05490);PA4953;+;PA4953 (motB, rpmB)
fliA (AL347_05490);PA4861;+;PA4861
fliA (AL347_05490);gcbA;+;gcbA
fliA (AL347_05490);PA4656;+;PA4656
fliA (AL347_05490);hemH;+;hemH
fliA (AL347_05490);PA4633;+;PA4633
fliA (AL347_05490);PA4616;+;PA4616
fliA (AL347_05490);glyA3;+;glyA3
fliA (AL347_05490);PA4601;+;PA4601 (morA)
fliA (AL347_05490);mexD;+;mexD
fliA (AL347_05490);PA4583;+;PA4583
fliA (AL347_05490);PA4520;+;PA4520
fliA (AL347_05490);fumC1;+;fumC1
fliA (AL347_05490);sodM;+;sodM
